SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
590057,NORTHGATE TE,B ,Q,6.99,6.99,6.08,6.27,6.27,6.80,171,29039,186878.00,
531465,NOUVEAU     ,T ,Q,5.26,5.26,5.25,5.26,5.26,5.50,7,201705,1058968.00,
513566,NOVA IRON&ST,T ,Q,6.12,6.53,6.12,6.51,6.53,6.22,15,3962,25726.00,
531791,NOVAGOL PETR,B ,Q,3.45,3.45,3.29,3.29,3.29,3.46,5,425,1399.00,
500310,NOVAPAN IND.,B ,Q,24.35,26.40,24.05,24.25,25.85,25.20,6,365,8857.00,
500672,NOVARTIS    ,B ,Q,800.00,824.00,792.35,809.35,809.35,801.30,468,10542,8593077.00,
530127,NPR FINANCE ,B ,Q,6.90,6.90,6.90,6.90,6.90,7.00,7,10000,69000.00,
532623,NR INTERNA  ,B ,Q,3.60,3.74,3.60,3.64,3.74,3.74,3,1400,5096.00,
530367,NRB BEARINGS,B ,Q,38.00,38.00,37.10,37.15,37.10,37.75,50,3739,139884.00,
503780,NRC LTD.    ,B ,Q,3.79,3.84,3.71,3.78,3.78,3.72,14,2875,10875.00,
526723,NTC INDUST  ,B ,Q,19.80,20.05,19.80,20.00,20.00,19.40,37,29808,596065.00,
532555,NTPC LTD    ,A ,Q,161.00,166.05,161.00,165.20,165.20,162.30,2572,101900,16684340.00,
532798,NTWK MED INV,B ,Q,39.10,40.50,38.60,38.80,38.80,39.20,1029,99577,3930097.00,
509077,NUCENT FIN. ,B ,Q,1.40,1.40,1.29,1.35,1.35,1.34,8,10801,15073.00,
500311,NUCHEM LTD. ,T ,Q,1.83,1.99,1.83,1.85,1.99,1.92,17,2227,4245.00,
531209,NUCLE.SOFT E,B ,Q,63.00,64.40,62.75,64.10,64.10,63.80,73,5401,343937.00,
532051,NUMERIC POWE,T ,Q,286.90,286.90,275.00,280.85,278.90,273.25,196,23164,6594749.00,
533015,NUTEK INDIA ,B ,Q,0.86,0.87,0.82,0.85,0.85,0.83,150,276737,234282.00,
524764,NUTRAPLUS PR,B ,Q,21.55,22.00,21.00,21.15,21.15,22.35,26,3912,83586.00,
533273,OBEROI REAL ,A ,Q,278.00,280.00,269.05,270.80,270.80,277.70,129,1323,362229.00,
519491,OCEAN AGRO  ,T ,Q,9.89,9.89,9.89,9.89,9.89,10.40,1,100,989.00,
502165,OCL INDIA   ,B ,Q,101.70,102.65,99.30,99.80,99.40,102.00,202,2152,216301.00,
533008,OCL IRON&ST ,B ,Q,41.30,41.65,40.50,41.00,41.00,40.70,89,10747,442076.00,
590090,OCTANT IND  ,B ,Q,7.90,8.19,7.05,8.00,8.08,8.00,31,6946,55748.00,
521062,OCTAVE      ,B ,Q,22.05,22.60,21.40,22.60,22.40,21.75,46,21411,475069.00,
531996,ODYSSEY CORP,B ,Q,38.30,40.10,37.80,40.10,40.10,38.20,45,15272,611429.00,
530175,ODYSSEY TECH,B ,Q,3.35,3.35,3.35,3.35,3.35,3.50,2,170,569.00,
500313,OIL COUNTRY ,B ,Q,53.85,53.85,52.55,52.95,52.95,51.80,15,146,7729.00,
533106,OIL INDIA   ,A ,Q,470.00,470.95,462.00,463.25,463.25,472.30,1412,26678,12407841.00,
526415,OK PLAY (I) ,B ,Q,13.52,13.52,13.52,13.52,13.52,14.60,1,400,5408.00,
534190,OLYMPIC     ,T ,Q,29.25,30.40,28.85,29.00,30.00,29.45,175,235933,6914922.00,
531092,OM MET INFRA,B ,Q,29.45,29.45,28.00,28.60,28.60,28.55,28,3482,99346.00,
520021,OMAX AUTOS. ,B ,Q,38.65,38.65,37.60,38.20,38.20,37.60,65,3768,143689.00,
532880,OMAXE LTD   ,B ,Q,152.00,152.00,150.00,151.30,151.50,151.75,511,89947,13614520.00,
519479,OMEGA AGSEED,T ,Q,25.00,26.75,24.35,26.75,26.75,25.60,19,6956,169586.00,
533317,OMKAR SPC   ,B ,Q,65.00,70.30,64.80,68.15,68.15,64.60,2957,87747,5971414.00,
532340,OMNI AX'S SO,T ,Q,2.35,2.35,2.35,2.35,2.35,2.24,1,5,11.00,
532882,OMNITECH    ,B ,Q,127.00,127.90,125.30,127.90,127.90,127.05,86,2262,286463.00,
514324,OMNITEX IND.,T ,Q,7.42,7.42,7.42,7.42,7.42,7.81,1,2000,14840.00,
533632,ONELIFE CAP ,B ,Q,310.00,314.80,300.00,302.85,302.85,311.20,2400,68906,21177632.00,
500312,ONGC CORPN  ,A ,Q,262.00,266.80,261.60,264.45,264.45,264.65,3463,274910,72741973.00,
532944,ONMOBILE    ,B ,Q,60.20,60.20,58.35,58.90,58.90,59.40,628,59244,3494261.00,
532607,ONTRACK     ,B ,Q,18.60,21.65,18.55,21.60,18.55,20.25,6,253,5317.00,
517536,ONWARD TECHN,B ,Q,34.80,36.00,34.80,35.75,35.75,35.05,39,1038,37228.00,
532391,OPTO CIRCUIT,A ,Q,180.50,182.50,176.50,178.05,178.05,182.25,1743,102300,18428859.00,
532466,ORACLE FIN  ,A ,Q,2635.95,2720.00,2630.00,2642.10,2642.10,2636.20,1936,14992,40207737.00,
512626,ORBIT EXPORT,B ,Q,85.40,85.40,81.00,82.05,81.70,83.35,81,10130,835852.00,
532837,ORBITCO     ,B ,Q,53.60,55.90,53.30,53.80,53.80,54.65,910,92473,5033408.00,
524372,ORCHID CHEM ,B ,Q,186.65,191.50,182.60,184.85,184.85,187.90,7040,1171749,221021512.00,
512097,ORGAN COMM. ,T ,Q,15.70,15.70,15.70,15.70,15.70,15.40,6,705,11068.00,
531157,ORGANIC COAT,B ,Q,9.65,9.94,9.65,9.94,9.94,10.15,2,201,1939.00,
513121,ORICON ENT  ,B ,Q,35.50,35.70,35.00,35.10,35.10,35.35,139,11756,415049.00,
504879,ORIENT ABRAS,B ,Q,6.85,6.85,6.70,6.79,6.80,6.79,66,17958,121672.00,
507690,ORIENT BEVER,B ,Q,13.31,13.31,13.31,13.31,13.31,14.00,1,1,13.00,
530365,ORIENT CERAM,B ,Q,56.90,56.90,55.10,56.25,56.25,55.10,6,120,6753.00,
500314,ORIENT HOTEL,B ,Q,26.50,26.50,26.05,26.10,26.10,26.45,4,75,1977.00,
502420,ORIENT PAPER,B ,Q,58.90,59.40,58.30,58.45,58.45,59.20,139,9680,567817.00,
526325,ORIENT PRESS,B ,Q,97.50,97.50,95.00,95.00,95.00,95.00,8,352,33443.00,
534076,ORIENT REF  ,B ,Q,23.75,24.40,23.75,24.40,24.40,24.00,36,26973,656354.00,
506579,ORIENT.CARB.,B ,Q,117.00,117.00,114.00,114.65,114.65,116.05,92,5473,629727.00,
532817,ORIENTAL    ,B ,Q,6.85,6.95,6.60,6.89,6.90,6.90,34,7651,52637.00,
500315,ORINTAL BANK,A ,Q,255.60,263.35,253.35,257.00,257.00,256.90,1260,50440,13054325.00,
504864,ORISA SP IRS,B ,Q,335.00,339.20,335.00,335.10,335.10,339.30,9,307,103286.00,
590086,ORISSA MINE ,B ,Q,34650.00,35739.95,34650.00,35165.40,35100.00,34995.90,404,451,15938347.00,
590074,ORTIN LABS  ,B ,Q,28.35,28.45,27.90,28.25,28.25,28.20,56,50650,1436227.00,
530173,OSCAR GLOBAL,B ,Q,2.97,3.25,2.97,3.25,3.25,3.12,2,41,122.00,
501179,OSCAR INV.  ,B ,Q,301.00,301.00,291.80,295.30,291.80,300.00,3,165,48753.00,
500318,OSWAL SPG(P),B ,Q,2.19,2.19,1.92,1.94,1.92,1.86,16,2450,4955.00,
507260,OUDH SUGAR  ,B ,Q,26.60,26.60,25.75,26.00,26.00,26.80,87,1027,26771.00,
503663,OUTCTYTRVL  ,T ,Q,31.40,33.00,31.40,33.00,33.00,33.00,321,65075,2147391.00,
526747,P.G.FOILS   ,B ,Q,73.20,76.50,73.20,75.80,76.50,72.95,14,1163,87355.00,
513359,PACHELI ENT ,T ,Q,4.47,4.47,4.47,4.47,4.47,4.26,7,4900,21903.00,
531118,PACIFIC COTS,B ,Q,1.41,1.58,1.40,1.42,1.42,1.45,14,10982,15632.00,
532350,PADMALAYA TE,B ,Q,3.24,3.38,3.20,3.38,3.38,3.24,5,1533,4977.00,
532827,PAGE INDUSTR,B ,Q,2678.15,2699.00,2670.25,2681.60,2681.60,2678.15,59,330,885409.00,
511306,PAL CREDIT  ,T ,Q,1.30,1.30,1.30,1.30,1.30,1.33,1,2500,3250.00,
511525,PAN INDIA C ,B ,Q,0.40,0.40,0.37,0.37,0.38,0.39,45,28229,10461.00,
504093,PANA ENERG  ,B ,Q,50.00,52.00,49.50,51.00,51.00,49.90,9,1550,77560.00,
531349,PANACEA BIOT,B ,Q,75.50,80.80,75.50,79.80,80.80,76.95,152,4332,341684.00,
524820,PANAMA PETRO,B ,Q,191.50,193.00,186.25,187.20,186.30,188.55,11,52,9881.00,
508941,PANASON CAR ,B ,Q,130.00,134.00,129.05,132.30,132.45,129.10,27,912,120126.00,
523307,PANASON HOME,B ,Q,115.00,115.00,111.70,112.40,111.70,115.55,70,763,85881.00,
